date,adj close,close,high,low,open,volume,change
19900301,1832.0,1832.0,1838.0,1827.0,1836.0,0,0.0
19900302,1860.0,1860.0,1860.0,1831.0,1831.0,0,1.5283842794759916
19900305,1874.0,1874.0,1874.0,1862.0,1866.0,0,0.7526881720430145
19900306,1872.0,1872.0,1875.0,1866.0,1869.0,0,-0.10672358591248265
19900307,1880.0,1880.0,1881.0,1874.0,1874.0,0,0.42735042735042583
19900308,1917.0,1917.0,1923.0,1891.0,1891.0,0,1.9680851063829774
19900309,1921.0,1921.0,1941.0,1921.0,1936.0,0,0.20865936358893666
19900312,1912.0,1912.0,1918.0,1912.0,1917.0,0,-0.468505986465384
19900313,1924.0,1924.0,1924.0,1924.0,1924.0,0,0.6276150627614996
19900314,1946.0,1946.0,1946.0,1919.0,1919.0,0,1.1434511434511352
19900315,1964.0,1964.0,1967.0,1950.0,1966.0,0,0.9249743062692772
19900316,1958.0,1958.0,1967.0,1952.0,1963.0,0,-0.3054989816700604
19900319,1936.0,1936.0,1953.0,1931.0,1950.0,0,-1.1235955056179803
19900320,1925.0,1925.0,1941.0,1922.0,1934.0,0,-0.5681818181818232
19900321,1938.0,1938.0,1940.0,1924.0,1926.0,0,0.6753246753246733
19900322,1914.0,1914.0,1931.0,1910.0,1918.0,0,-1.2383900928792602
19900323,1937.0,1937.0,1944.0,1923.0,1924.0,0,1.2016718913270719
19900326,1964.0,1964.0,1967.0,1948.0,1948.0,0,1.3939081053174984
19900327,1946.0,1946.0,1959.0,1944.0,1956.0,0,-0.9164969450101812
19900328,1939.0,1939.0,1948.0,1931.0,1944.0,0,-0.3597122302158251
19900329,1947.0,1947.0,1953.0,1940.0,1944.0,0,0.4125838060856202
19900330,1972.0,1972.0,1975.0,1943.0,1943.0,0,1.2840267077555145
19900402,1947.0,1947.0,1962.0,1937.0,1951.0,0,-1.2677484787018245
19900403,1985.0,1985.0,1990.0,1953.0,1953.0,0,1.9517205957883865
19900404,2001.0,2001.0,2014.0,1994.0,1997.0,0,0.8060453400503764
19900405,2028.0,2028.0,2034.0,1997.0,2004.0,0,1.3493253373313419
19900406,2070.0,2070.0,2081.0,2053.0,2054.0,0,2.071005917159763
